what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.sse.core,1.1.506.v201110201853,"org.eclipse.wst.sse.core",1518855241222
started,bundle,org.eclipse.wst.xml.core,1.1.505.v201109271810,"org.eclipse.wst.xml.core",1518855246245
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1518855264498
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1518855265403
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1518855265434
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1518855267525
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1518855267649
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518855267899
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518855271986
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1518855272002
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518855294903
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518855332953
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518855337071
started,bundle,org.eclipse.wst.common.frameworks,1.2.1.v201107271600,"org.eclipse.wst.common.frameworks",1518855344840
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1518855345932
started,bundle,org.eclipse.jem.util,2.1.3.v201012070000,"org.eclipse.jem.util",1518855346026
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.4.v201106210700,"org.eclipse.wst.common.emfworkbench.integration",1518855346041
started,bundle,org.eclipse.wst.common.modulecore,1.2.7.v201110060300,"org.eclipse.wst.common.modulecore",1518855346728
started,bundle,org.eclipse.jst.j2ee.core,1.2.7.v201110060300,"org.eclipse.jst.j2ee.core",1518855346759
started,bundle,org.eclipse.jem,2.0.402.v201106132000,"org.eclipse.jem",1518855347071
started,bundle,org.eclipse.wst.validation,1.2.204.v201109220700,"org.eclipse.wst.validation",1518855347539
started,bundle,org.eclipse.jst.j2ee,1.1.406.v201110130300,"org.eclipse.jst.j2ee",1518855347586
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1518855348023
started,bundle,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui",1518855348116
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518855348522
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1518855348553
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1518855348553
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518855354746
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518855392420
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518855395088
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1518855397116
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1518855397132
